,lines
6351,I'd turned into a boy again.
6352,You'd think me simply phoney if I told you how I felt about my own arms.
6353,"I know they've no muscle and are pretty mouldy compared with Caspian's, but I was so glad to see them."
6354,After a bit the lion took me out and dressed me -  Dressed you.
6355,"With his paws?  Well, I don't exactly remember that bit."
6356,"But he did somehow or other: in new clothes - the same I've got on now, as a matter of fact."
6357,And then suddenly I was back here.
6358,Which is what makes me think it must have been a dream.
6359,No.
6360,"It wasn't a dream, said Edmund."
6361,"Why not?  Well, there are the clothes, for one thing."
6362,"And you have been - well, un-dragoned, for another."
6363,"What do you think it was, then? asked Eustace."
6364,"I think you've seen Aslan, said Edmund."
6365,Aslan! said Eustace.
6366,I've heard that name mentioned several times since we joined the Dawn Treader.
6367,And I felt - I don't know what - I hated it.
6368,But I was hating everything then.
6369,"And by the way, I'd like to apologize."
6370,I'm afraid I've been pretty beastly.
6371,"That's all right, said Edmund."
6372,"Between ourselves, you haven't been as bad as I was on my first trip to Narnia."
6373,"You were only an ass, but I was a traitor."
6374,"Well, don't tell me about it, then, said Eustace."
6375,"But who is Aslan? Do you know him?  Well - he knows me, said Edmund."
6376,"He is the great Lion, the son of the Emperor-beyond-the-Sea, who saved me and saved Narnia."
6377,We've all seen him.
6378,Lucy sees him most often.
6379,And it may be Aslan's country we are sailing to.
6380,Neither said anything for a while.
6381,"The last bright star had vanished and though they could not see the sunrise because of the mountains on their right, they knew it was going on because the sky above them and the bay before them turned the colour of roses."
6382,"Then some bird of the parrot kind screamed in the wood behind them, they heard movements among the trees, and finally a blast on Caspian's horn."
6383,The camp was astir.
6384,Great was the rejoicing when Edmund and the restored Eustace walked into the breakfast circle round the camp fire.
6385,And now of course everyone heard the earlier part of his story.
6386,People wondered whether the other dragon had killed the Lord Octesian several years ago or whether Octesian himself had been the old dragon.
6387,"The jewels with which Eustace had crammed his pockets in the cave had disappeared along with the clothes he had then been wearing: but no one, least of all Eustace himself, felt any desire to go back to that valley for more treasure."
6388,"In a few days now the Dawn Treader, remasted, re-painted, and well stored, was ready to sail."
6389,"Before they embarked Caspian caused to be cut on a smooth cliff facing the bay the words:  Two narrow escapes  DRAGON ISLAND DISCOVERED BY CASPIAN X, KING OF NARNIA, ETC."
6390,IN THE FOURTH YEAR OF HIS REIGN.
6391,"HERE, AS WE SUPPOSE, THE LORD OCTESIAN HAD HIS DEATH  It would be nice, and fairly true, to say that from that time forth Eustace was a different boy."
6392,"To be strictly accurate, he began to be a different boy."
6393,He had relapses.
6394,There were still many days when he could be very tiresome.
6395,But most of those I shall not notice.
6396,The cure had begun.
6397,The Lord Octesian's arm ring had a curious fate.
6398,Eustace did not want it and offered it to Caspian and Caspian offered it to Lucy.
6399,She did not care about having it.
6400,"Very well, then, catch as catch can, said Caspian and flung it up in the air."
6401,This was when they were all standing looking at the inscription.
6402,"Up went the ring, flashing in the sunlight, and caught, and hung, as neatly as a well-thrown quoit, on a little projection on the rock."
6403,No one could climb up to get it from below and no one could climb down to get it from above.
6404,"And there, for all I know, it is hanging still and may hang till that world ends."
6405,  CHAPTER EIGHT  TWO NARROW ESCAPES  EVERYONE was cheerful as the Dawn Treader sailed from Dragon Island.
6406,They had fair winds as soon as they were out of the bay and came early next morning to the unknown land which some of them had seen when flying over the mountains while Eustace was still a dragon.
6407,"It was a low green island inhabited by nothing but rabbits and a few goats, but from the ruins of stone huts, and from blackened places where fires had been, they judged that it had been peopled not long before."
6408,There were also some bones and broken weapons.
6409,"Pirates' work, said Caspian."
6410,"Or the dragon's, said Edmund."
6411,"The only other thing they found there was a little skin boat, or coracle, on the sands."
6412,It was made of hide stretched over a wicker framework.
6413,"It was a tiny boat, barely four feet long, and the paddle which still lay in it was in proportion."
